Importance,Variable,Type,Length,Format,Label,Note
1,CAN_ABO,char,3,$ABO,Patient/s Blood Type,"Important, after first analysis"
1,CAN_ACTIVATE_DT,num,8,MMDDYY,Activation Date - date/time waiting time clock started,"Important, after first analysis"
1,CAN_AGE_AT_LISTING,num,8,AGE9A,Calculated Candidate Age at Listing,"Important, after first analysis"
1,CAN_ANGINA,num,8,ANGINA,Angina/Coronary Artery Disease,"Important, after first analysis"
1,CAN_ANGINA_CAD,num,8,ANGNACAD,Angina:,"Important, after first analysis"
1,CAN_AVN,char,1,,AVN (avascular necrosis): (Ped Only),"Important, after first analysis"
1,CAN_BMI,num,8,,BMI:,"Important, after first analysis"
1,CAN_CEREB_VASC,char,1,,Symptomatic Cerebrovascular Disease,"Important, after first analysis"
1,CAN_CMV_STAT,char,2,$SRLSTT,Candidate/s CMV Status,"Important, after first analysis"
1,CAN_CREAT_CLEAR,num,8,,Calculated Creatinine Clearance,"Important, after first analysis"
1,CAN_CREAT_CLEAR_DT,num,8,MMDDYY,Date Candidate met the minimum Creatinine Clearance to begin accuring waiting time,"Important, after first analysis"
1,CAN_C_PEPTIDE,num,8,,C-Peptide Value,"Important, after first analysis"
1,CAN_DEATH_DT,num,8,MMDDYY,"If removed due to Death, date of death","Important, after first analysis"
1,CAN_DGN,num,8,DGN,Primary Diagnosis,"Important, after first analysis"
1,CAN_DIAB,num,8,DBINSLDP,Diabetes,"Important, after first analysis"
1,CAN_DIAB_TY,num,8,DIABTY,Diabetes,"Important, after first analysis"
1,CAN_DIAL,num,8,DIALTYLI,Dialysis,"Important, after first analysis"
1,CAN_DRUG_TREAT_COPD,char,1,,Drug Treated COPD,"Important, after first analysis"
1,CAN_DRUG_TREAT_HYPERTEN,char,1,,Drug Treated Systemic Hypertension,"Important, after first analysis"
1,CAN_ETHNICITY_SRTR,char,10,$ETHSR,SRTR Patient Ethnicity,"Important, after first analysis"
1,CAN_FUNCTN_STAT,num,8,FUNCSTAT,Patient/s Functional Status,"Important, after first analysis"
1,CAN_GENDER,char,1,,Patient/s Gender,"Important, after first analysis"
