Feature Name,Data File,Feature,Type,Length,Format,Note
Patient ID,STATHIST_KIPA,PX_ID,num,8,,Patient Identifier
Organ type,STATHIST_KIPA,WL_ORG,char,4,$WLORG,Organ of this waitlisted record
WL Beginning,STATHIST_KIPA,CANHX_BEGIN_DT_TM,num,8,DATETIME,WL Status Period Begin Date/Time
WL End,STATHIST_KIPA,CANHX_END_DT,num,8,DATE,WL Status Period End Date
WL End #2,STATHIST_KIPA,CANHX_END_DT_TM,num,8,DATETIME,WL Status Period End Date/Time
Reason Status Inactive,STATHIST_KIPA,CANHX_REASON_STAT_INACT,num,8,INACTRSN,Reason Candidate Status made inactive
Reason Removal,STATHIST_KIPA,CAN_REM_CD,num,8,REMCD,Reason why candidate was removed
WL Status,STATHIST_KIPA,CANHX_STAT_CD,num,8,CANDSTAT,WL Status During Given Period
Listing Date,STATHIST_KIPA,CAN_LISTING_DT,num,8,MMDDYY,Listing Date - date/time candidate was physically added to the waiting list - this date/time does not change for transfers
Date First Active Status,STATHIST_KIPA,CAN_INIT_ACT_STAT_DT,num,8,MMDDYY,Date of First Active Status
Date First Inactive Status,STATHIST_KIPA,CAN_INIT_INACT_STAT_DT,num,8,MMDDYY,Date of First Inactive Status
Last Date Active Status,STATHIST_KIPA,CAN_LAST_ACT_STAT_DT,num,8,MMDDYY,Last Date of Active Status
Last Date Inactive Status,STATHIST_KIPA,CAN_LAST_INACT_STAT_DT,num,8,MMDDYY,Last Date of Inactive Status
