Feature Name,Data File,Feature,Type,Length,Format,Note
Person ID,TXF_KI,PERS_ID,num,8,,Unique Person ID for Recipient
Patient ID,TXF_KI,PX_ID,num,8,,Patient Identifier
TRR Follow up ID,TXF_KI,TRR_FOL_ID,num,8,,Unique identifier for TRR Follow-up - unique key
TRR ID,TXF_KI,TRR_ID,num,8,,Unique identifier for TRR - unique key
Transplant ID,TXF_KI,TX_ID,num,8,,Unique identifier for TX - set same for multi_org
Follow up code,TXF_KI,TFL_FOL_CD,num,8,FOLCD,8-digit numeric code that identifies which post-transplant follow-up interval a given record represents
BMI,TXF_KI,TFL_BMI,num,8,,
Organ Type,TXF_KI,ORG_TY,char,4,$WLORG,
Organ Type #2,TXF_KI,REC_TX_ORG_TY,char,15,$TXORGTY,"Transplant Organ Type(s), text contains list of organ types involved in TX"
Transplant Date,TXF_KI,REC_TX_DT,num,8,MMDDYY,
Anti viral therapy,TXF_KI,TFL_ANTIVRL_THERAPY,char ,1,,"Biological or Anti-viral therapy, if yes check: TFL_ANTIVRL_THERAPY_TY        "
Anti viral therapy specify,TXF_KI,TFL_ANTIVRL_THERAPY_TY,num,8,ANTLVIRL,"If Anti-viral therapies, check all that apply"
Other therapy,TXF_KI,TFL_OTHER_THERAPY,char,1,,"Other Therapies, if yes check: TFL_OTHER_THERAPY_TY        "
Other therapy specify,TXF_KI,TFL_OTHER_THERAPY_TY,num,8,THRPYOTH,"If Other therapies, check all that apply:"
BK Virus,TXF_KI,TFL_FAIL_BK,char,1,,BK (Polyoma) Virus
BK Treatment,TXF_KI,TFL_BK_THERAPY,char,1,,"Treatment for BK (polyoma) virus, if Yes check: TFL_BK_THERAPY_TY        "
BK Treatment specify,TXF_KI,TFL_BK_THERAPY_TY,num,8,TREATBK,"Treatment for BK (polyoma) virus//If Yes, check all that apply:"
CMV ,TXF_KI,TFL_CMV_IGG,char,2,$SRLSTT,CMV IgG
CMV #2,TXF_KI,TFL_CMV_IGM,char,2,$SRLSTT,CMV IgM
Cause of Death,TXF_KI,TFL_COD,num,8,KICOD,Recipient/s Follow-up Cause of Death
Contributory Cause of Death,TXF_KI,TFL_COD2,num,8,COD,
Contributory Cause of Death #2,TXF_KI,TFL_COD3,num,8,COD,
Serum Creatinine,TXF_KI,TFL_CREAT,num,8,,Most Recent Serum Creatinine
Dialysis,TXF_KI,TFL_DIAL_TY,num,8,DLMNTDL,Dialysis Since Last Follow-Up
Disease Recurrence,TXF_KI,TFL_DISEASE_RECUR,num,8,DISRECR,
Primary Cause Graft Failure,TXF_KI,TFL_FAIL_CAUSE_TY,num,8,GRFFL,
Date Graft Failure,TXF_KI,TFL_FAIL_DT,num,8,MMDDYY,Date of Graft Failure
Graft Thrombosis,TXF_KI,TFL_FAIL_GRAFT_THROMB,char,1,,Graft Thrombosis
Infection,TXF_KI,TFL_FAIL_INFECT,char,1,,Infection
Recurrent Disease,TXF_KI,TFL_FAIL_RECUR_DISEASE,char,1,,Recurrent Disease: non-Hepatitis
Acute Rejection,TXF_KI,TFL_FAIL_REJ_ACUTE,char,1,,Acute Rejection
Chronic Rejection,TXF_KI,TFL_FAIL_REJ_CHRONIC,char,1,,Chronic Rejection
Urological Complications,TXF_KI,TFL_FAIL_UROL_COMPL,char,1,,Urological Complications
Functional Status,TXF_KI,TFL_FUNCTN_STAT,num,8,FUNCSTAT,
Graft Status,TXF_KI,TFL_GRAFT_STAT,char,1,,
Hospitalization,TXF_KI,TFL_HOSP,char,1,,"Hospitalizations during Follow-Up Period, if true check: TFL_HOSP_NUM	"
Number of Hospitalization ,TXF_KI,TFL_HOSP_NUM,num,8,,
Medication,TXF_KI,TFL_IMMUNO_MAINT_MEDS,num,8,IMMNTRSP,Any Meds Given during follow-up for Maintenance or Anti-Rejection?
Post transplant Malignancy,TXF_KI,TFL_MALIG,char,1,,"Post transplant Malignancy, if yes check: TFL_MALIG_DON_RELATED        "
Malignancy Donor Related,TXF_KI,TFL_MALIG_DON_RELATED,char,1,,Donor Related
Lymphoproliferative,TXF_KI,TFL_MALIG_LYMPH,char,1,,De Novo Lymphoproliferative
Tumor,TXF_KI,TFL_MALIG_RECUR_TUMOR,char,1,,Recurrence of Pre-Tx Tumor
Tumor #2,TXF_KI,TFL_MALIG_TUMOR,char,1,,De Novo Solid Tumor
Patient Status,TXF_KI,TFL_PX_STAT,char ,1,$PXSTATB,Patient Status
Date Patient Status,TXF_KI,TFL_PX_STAT_DT,num,8,MMDDYY,Patient Status/Date
Number rejections,TXF_KI,TFL_REJ_EVENT_NUM,num,8,,Number of Episodes/Rejections
Treatment rejection,TXF_KI,TFL_REJ_TREAT,char,1,,Patient Treated For Rejection
