Importance,Variable,Type,Length,Format,Label,Note
1,CAN_LAST_ALLOC_PRA,num,8,,Final allocation PRA (last recorded before tx),"Important, after first analysis (Can have different values than CAND_KIPA)"
1,CAN_LAST_CUR_PRA,num,8,,Final Current PRA (last recorded before tx),"Important, after first analysis (Can have different values than CAND_KIPA)"
1,CAN_LAST_SRTR_PEAK_PRA,num,8,,"max of cand, pra_hist, rec_histo","Important, after first analysis (Can have different values than CAND_KIPA)"
1,CAN_TOT_ALBUMIN,num,8,,Total Serum Albumin,"Important, after first analysis (Can have different values than CAND_KIPA)"
1,DONOR_ID,num,8,,Encrypted Unique Donor ID (all donors) - foreign key,"Important, after first analysis "
1,DON_A1,num,8,ALOCUS,Donor/s HLA - A (1) antigen,"Important, after first analysis "
1,DON_A2,num,8,ALOCUS,Donor/s HLA - A (2) antigen,"Important, after first analysis "
1,DON_ABO,char,3,$ABO,Donor/s Blood Type,"Important, after first analysis "
1,DON_AGE,num,8,,Calculated Donor Age in Years at Organ Recovery or Referral Date,"Important, after first analysis "
1,DON_ANTI_CMV,char,2,$SRLSTT,Anti-CMV,"Important, after first analysis "
1,DON_ANTI_HCV,char,2,$SRLSTT,Anti-HCV,"Important, after first analysis "
1,DON_B1,num,8,BLOCUS,Donor/s HLA - B (1) antigen,"Important, after first analysis "
1,DON_B2,num,8,BLOCUS,Donor/s HLA - B (2) antigen,"Important, after first analysis "
1,DON_CMV_IGG,char,2,$SRLSTT,CMV IgG,"Important, after first analysis "
1,DON_CREAT,num,8,,Serum Creatinine,"Important, after first analysis "
1,DON_DR1,num,8,DRLOCUS,Donor/s HLA - DR (1) antigen,"Important, after first analysis "
1,DON_DR2,num,8,DRLOCUS,Donor/s HLA - DR (2) antigen,"Important, after first analysis "
1,DON_ETHNICITY_SRTR,char,10,$ETHSR,SRTR Donor Ethnicity,"Important, after first analysis "
1,DON_EXPAND_DON_KI,num,3,,"Meets expanded donor criteria for kidney (1= yes , 0= no)","Important, after first analysis "
1,DON_GENDER,char,1,,Donor/s Gender,"Important, after first analysis "
1,DON_HAPLO_TY_MATCH,num,8,HAPLOTY,Haplotype Match Between Live Donor & Recipient,"Important, after first analysis "
